Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-05-04,ADANIPORTS,EQ,327.45,328.8,340.4,328.7,338.65,339.45,336.33,6728527,226301818835000.0,37900,3960582,0.5886
2017-05-05,ADANIPORTS,EQ,339.45,339.4,346.45,336.15,344.2,344.95,342.1,8196507,280401968765000.0,63604,4635431,0.5655
2017-05-08,ADANIPORTS,EQ,344.95,343.5,346.7,338.0,341.4,340.5,341.05,2462230,83975124430000.0,25974,1143002,0.4642
2017-05-09,ADANIPORTS,EQ,340.5,339.9,349.4,335.8,347.25,347.5,345.33,3459067,119450804434999.98,41916,1131193,0.327
2017-05-10,ADANIPORTS,EQ,347.5,346.1,353.0,346.1,350.8,351.9,351.17,3207734,112647284675000.0,36628,1667602,0.5199
2017-05-11,ADANIPORTS,EQ,351.9,352.0,362.55,350.5,358.95,360.05,356.12,4604066,163960659390000.0,59951,2435517,0.529
2017-05-12,ADANIPORTS,EQ,360.05,360.4,360.4,353.4,358.2,357.95,356.57,2958586,105494468755000.0,51163,1714248,0.5794
2017-05-15,ADANIPORTS,EQ,357.95,359.0,359.75,350.85,356.0,356.2,354.78,1530781,54309389610000.0,14738,554124,0.36200000000000004
2017-05-16,ADANIPORTS,EQ,356.2,354.2,358.15,351.15,353.55,354.5,354.64,1321254,46857184160000.0,24113,465010,0.3519
2017-05-17,ADANIPORTS,EQ,354.5,354.5,354.8,347.55,348.95,348.55,349.74,1239867,43363245230000.0,19750,571621,0.461
2017-05-18,ADANIPORTS,EQ,348.55,344.3,359.55,342.2,348.15,347.9,350.16,3618961,126719843950000.0,76390,963959,0.2664
2017-05-19,ADANIPORTS,EQ,347.9,349.05,352.5,345.3,350.45,349.45,348.91,1302961,45461034190000.0,20989,492222,0.3778
2017-05-22,ADANIPORTS,EQ,349.45,352.4,357.4,350.45,354.0,354.45,354.6,2939697,104241973385000.0,36043,1207131,0.4106
2017-05-23,ADANIPORTS,EQ,354.45,354.8,355.6,328.5,330.65,331.65,340.41,6270500,213454292405000.0,70709,2738738,0.4368
2017-05-24,ADANIPORTS,EQ,331.65,333.4,342.95,328.1,341.8,339.65,337.39,8363216,282165124920000.0,78246,1533176,0.1833
2017-05-25,ADANIPORTS,EQ,339.65,344.9,346.25,331.3,341.55,340.75,339.21,5992900,203286196330000.0,57622,1993080,0.3326
2017-05-26,ADANIPORTS,EQ,340.75,342.4,351.0,339.0,348.0,348.0,347.55,2754435,95731156685000.0,28126,1036015,0.3761
2017-05-29,ADANIPORTS,EQ,348.0,347.8,348.35,325.1,327.8,327.8,331.08,3943111,130547951925000.0,44755,1440160,0.3652
2017-05-30,ADANIPORTS,EQ,327.8,328.4,342.9,327.45,341.0,340.35,337.25,3680879,124138024380000.0,51558,1506427,0.4093
2017-05-31,ADANIPORTS,EQ,340.35,341.5,345.75,336.55,341.75,339.0,339.69,12190256,414091982035000.0,94792,9389385,0.7702
2017-06-01,ADANIPORTS,EQ,339.0,337.6,351.95,337.6,350.5,349.2,345.71,3447544,119183564315000.02,38653,1449223,0.4204
2017-06-02,ADANIPORTS,EQ,349.2,352.0,359.4,350.5,357.0,357.9,356.79,3297747,117659980084999.98,39939,809810,0.24559999999999998
2017-06-05,ADANIPORTS,EQ,357.9,359.95,364.5,355.2,361.5,361.05,361.2,2830068,102222986400000.0,31813,891587,0.315
2017-06-06,ADANIPORTS,EQ,361.05,362.95,368.75,357.05,360.55,361.45,361.51,5229905,189066638565000.0,39979,2688647,0.5141
2017-06-07,ADANIPORTS,EQ,361.45,363.6,363.95,357.3,359.5,359.1,360.29,5435369,195831872855000.0,39716,2979849,0.5482
2017-06-08,ADANIPORTS,EQ,359.1,359.25,361.85,350.5,360.15,359.15,356.46,4568139,162837637565000.0,37373,2595605,0.5682
2017-06-09,ADANIPORTS,EQ,359.15,360.0,360.6,350.25,359.6,359.85,356.71,7152603,255142607919999.97,62422,4653276,0.6506000000000001
2017-06-12,ADANIPORTS,EQ,359.85,359.7,359.7,353.55,358.5,356.85,355.91,4963488,176657010625000.0,33056,3176070,0.6399
2017-06-13,ADANIPORTS,EQ,356.85,359.0,363.15,355.4,360.05,359.4,358.99,5463098,196119895475000.0,43624,3250231,0.5949
2017-06-14,ADANIPORTS,EQ,359.4,360.5,360.9,356.1,359.95,359.5,358.73,6005138,215424046794999.97,52462,4303037,0.7166
2017-06-15,ADANIPORTS,EQ,359.5,359.45,366.4,357.75,360.0,360.0,361.79,3997432,144623431025000.0,38912,1764531,0.4414
2017-06-16,ADANIPORTS,EQ,360.0,361.5,365.1,356.25,364.9,363.15,360.57,5332597,192274982170000.0,38347,3577084,0.6708
2017-06-19,ADANIPORTS,EQ,363.15,365.0,375.6,365.0,373.65,373.8,371.87,7328947,272542174010000.0,105974,3109194,0.4242
2017-06-20,ADANIPORTS,EQ,373.8,375.6,377.7,370.1,374.05,375.65,374.86,4597214,172333109720000.0,55660,2585956,0.5625
2017-06-21,ADANIPORTS,EQ,375.65,374.75,377.2,367.2,369.95,369.95,371.88,2797034,104015083460000.0,40320,1262268,0.45130000000000003
2017-06-22,ADANIPORTS,EQ,369.95,370.0,373.8,367.5,369.3,369.45,370.87,1935079,71765535030000.0,30166,969841,0.5012
2017-06-23,ADANIPORTS,EQ,369.45,369.45,370.5,361.65,368.0,365.45,364.46,3011500,109757103990000.02,53047,1628889,0.5409
2017-06-27,ADANIPORTS,EQ,365.45,367.9,372.8,365.45,366.8,367.7,368.94,2780694,102591433810000.0,38952,1032749,0.3714
2017-06-28,ADANIPORTS,EQ,367.7,368.4,369.65,363.05,364.35,364.5,365.95,2394375,87621793450000.0,53764,1316251,0.5497
2017-06-29,ADANIPORTS,EQ,364.5,366.95,368.7,362.35,364.6,364.5,364.46,3343365,121852278820000.0,37441,2153283,0.644
2017-06-30,ADANIPORTS,EQ,364.5,364.0,365.8,360.55,364.9,363.05,363.05,1386974,50354349685000.0,19945,358630,0.2586
2017-07-03,ADANIPORTS,EQ,363.05,364.9,370.6,359.5,368.45,368.0,364.73,2171316,79194820450000.0,43766,648895,0.2988
2017-07-04,ADANIPORTS,EQ,368.0,368.5,375.7,368.0,371.25,371.7,372.88,4186188,156093810830000.0,60857,1853835,0.4428
2017-07-05,ADANIPORTS,EQ,371.7,374.5,374.5,371.85,372.65,372.9,372.95,1422559,53053736250000.0,17676,703753,0.4947
2017-07-06,ADANIPORTS,EQ,372.9,373.9,375.65,371.5,372.05,373.05,373.85,2318749,86686794150000.0,30128,1529765,0.6597
2017-07-07,ADANIPORTS,EQ,373.05,372.1,374.95,370.0,370.8,371.6,373.12,3077926,114843162659999.98,45205,1954640,0.6351
2017-07-10,ADANIPORTS,EQ,371.6,382.7,382.7,372.0,374.0,374.95,374.78,860478,32249314320000.0,8328,582955,0.6775
2017-07-11,ADANIPORTS,EQ,374.95,376.0,376.85,371.7,371.7,372.7,373.02,2646484,98719787835000.0,33939,1855639,0.7012
2017-07-12,ADANIPORTS,EQ,372.7,372.25,375.3,371.65,374.0,373.85,373.6,2035281,76039101990000.0,25749,1195467,0.5874
2017-07-13,ADANIPORTS,EQ,373.85,375.8,377.9,372.25,375.35,375.95,374.92,2956936,110860122434999.98,46202,1874690,0.634
2017-07-14,ADANIPORTS,EQ,375.95,375.95,378.45,374.45,374.85,375.6,376.09,1737806,65357165445000.01,33739,826683,0.4757
2017-07-17,ADANIPORTS,EQ,375.6,373.85,383.7,373.85,380.9,381.25,381.41,4784990,182504705575000.0,32787,2973363,0.6214000000000001
2017-07-18,ADANIPORTS,EQ,381.25,379.5,384.1,378.45,381.7,381.9,382.22,3927479,150115276030000.0,52094,2837912,0.7226
2017-07-19,ADANIPORTS,EQ,381.9,380.5,383.8,377.3,380.7,381.05,380.92,4847964,184666485560000.0,49440,3705113,0.7643000000000001
2017-07-20,ADANIPORTS,EQ,381.05,382.0,382.5,377.05,380.0,380.0,380.25,4490409,170748546460000.0,33913,3619145,0.8059999999999999
2017-07-21,ADANIPORTS,EQ,380.0,381.0,382.7,378.6,382.5,381.9,380.42,6613707,251600153465000.0,38176,5341660,0.8077
2017-07-24,ADANIPORTS,EQ,381.9,383.5,390.35,381.1,387.85,388.45,385.46,4777031,184133937390000.0,46802,2818734,0.5901
2017-07-25,ADANIPORTS,EQ,388.45,390.1,393.4,385.15,390.1,390.75,389.29,3297724,128378128500000.0,43474,2123384,0.6439
