Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-05-21,ADANIPOWER,EQ,46.75,47.3,48.1,44.8,46.3,46.0,46.16,25614931,118230398109999.98,46618,4459251,0.1741
2019-05-22,ADANIPOWER,EQ,46.0,46.8,47.0,44.9,46.75,46.7,46.15,19258903,88881195860000.0,29440,2468808,0.1282
2019-05-23,ADANIPOWER,EQ,46.7,48.85,51.0,45.6,46.05,46.65,49.01,50231342,246188460985000.0,90285,8587896,0.171
2019-05-24,ADANIPOWER,EQ,46.65,46.8,47.3,45.05,47.0,46.8,46.25,19365940,89563379630000.0,36624,2053428,0.106
2019-05-27,ADANIPOWER,EQ,46.8,47.4,49.7,46.55,49.15,49.1,48.55,22998049,111658897005000.0,34026,4894697,0.21280000000000002
2019-05-28,ADANIPOWER,EQ,49.1,49.7,50.35,48.5,48.6,49.0,49.45,17598192,87031047670000.0,32069,3159308,0.1795
2019-05-29,ADANIPOWER,EQ,49.0,49.0,49.7,47.05,48.8,48.35,48.69,15057913,73314717390000.0,25225,1495861,0.0993
2019-05-30,ADANIPOWER,EQ,48.35,49.95,52.8,49.35,51.65,51.55,51.36,44609030,229092220444999.97,82544,6630831,0.1486
2019-05-31,ADANIPOWER,EQ,51.55,51.75,53.3,49.1,50.3,50.35,51.26,26960956,138204093870000.0,45732,4231431,0.1569
2019-06-03,ADANIPOWER,EQ,50.35,50.45,50.65,49.1,50.2,50.35,50.02,10128255,50657910775000.0,21661,1026627,0.1014
2019-06-04,ADANIPOWER,EQ,50.35,49.8,51.25,49.6,50.2,50.3,50.37,9212403,46399550770000.0,23196,972902,0.10560000000000001
2019-06-06,ADANIPOWER,EQ,50.3,50.3,50.4,47.05,48.25,48.2,48.62,10504638,51077235360000.0,22066,1725326,0.1642
2019-06-07,ADANIPOWER,EQ,48.2,48.2,48.55,46.2,47.45,47.35,47.35,9372442,44378898285000.0,19373,1056673,0.1127
2019-06-10,ADANIPOWER,EQ,47.35,47.55,48.35,46.35,47.55,47.35,47.32,7790036,36860871170000.0,15887,851002,0.1092
2019-06-11,ADANIPOWER,EQ,47.35,47.75,48.7,46.6,48.0,48.25,47.55,7777356,36983143255000.0,17223,1216896,0.1565
2019-06-12,ADANIPOWER,EQ,48.25,48.25,50.45,48.1,49.1,49.1,49.32,15460100,76254173530000.0,35427,2139075,0.1384
2019-06-13,ADANIPOWER,EQ,49.1,49.0,49.15,46.75,48.35,48.35,48.08,8790669,42264749080000.0,21004,1135617,0.1292
2019-06-14,ADANIPOWER,EQ,48.35,48.5,50.0,48.1,48.25,48.5,48.91,10216642,49972464815000.0,22706,1856030,0.18170000000000003
2019-06-17,ADANIPOWER,EQ,48.5,48.5,48.55,46.1,46.8,46.75,46.84,11965086,56045007325000.0,21224,3383132,0.2716
2019-06-18,ADANIPOWER,EQ,46.75,46.8,47.35,45.85,46.85,46.85,46.74,9064307,42367705150000.0,15631,2801253,0.2895
2019-06-19,ADANIPOWER,EQ,46.85,47.0,47.6,44.3,46.25,46.7,45.94,17770408,81637723270000.0,29785,4526565,0.2547
2019-06-20,ADANIPOWER,EQ,46.7,45.95,47.9,45.5,47.65,47.5,46.71,9180146,42876560660000.0,15699,1315308,0.1433
2019-06-21,ADANIPOWER,EQ,47.5,47.5,48.5,46.9,48.1,47.9,47.72,7305311,34861060239999.996,14082,1843226,0.2523
2019-06-24,ADANIPOWER,EQ,47.9,47.9,50.5,47.15,50.35,50.15,49.17,15302455,75248927435000.0,24086,4231308,0.27649999999999997
2019-06-25,ADANIPOWER,EQ,50.15,50.3,50.9,48.9,50.65,50.55,49.97,14732369,73622506895000.0,21873,2172872,0.1475
2019-06-26,ADANIPOWER,EQ,50.55,50.7,51.5,50.3,51.15,51.3,51.05,13262391,67709565500000.0,19674,2739476,0.2066
2019-06-27,ADANIPOWER,EQ,51.3,51.5,52.05,51.0,51.65,51.5,51.53,7884139,40626206320000.0,18613,2157552,0.2737
2019-06-28,ADANIPOWER,EQ,51.5,52.25,52.35,50.8,51.3,51.35,51.48,10327185,53159667160000.0,16056,2363339,0.2288
2019-07-01,ADANIPOWER,EQ,51.35,52.25,61.25,50.8,60.6,60.3,57.45,80055330,459900078189999.94,139146,9472000,0.1183
2019-07-02,ADANIPOWER,EQ,60.3,60.75,65.4,60.15,64.4,64.75,62.98,129393170,814976309505000.0,246369,9851164,0.0761
2019-07-03,ADANIPOWER,EQ,64.75,64.3,66.25,63.6,66.0,65.75,65.17,52851764,344423658550000.0,100629,4420806,0.0836
2019-07-04,ADANIPOWER,EQ,65.75,65.8,66.9,64.7,65.05,65.35,65.76,22977698,151101338375000.0,47198,2185007,0.0951
2019-07-05,ADANIPOWER,EQ,65.35,65.05,65.9,62.7,63.3,63.65,64.31,19891405,127917443345000.0,39225,2771892,0.1394
2019-07-08,ADANIPOWER,EQ,63.65,62.5,63.85,61.45,62.15,62.1,62.47,17035534,106425344570000.0,29308,3240323,0.1902
2019-07-09,ADANIPOWER,EQ,62.1,61.45,68.75,60.8,67.45,67.15,65.7,51654011,339381949000000.0,100010,3598827,0.0697
2019-07-10,ADANIPOWER,EQ,67.15,67.95,68.25,62.45,62.65,62.95,64.39,37061160,238650945769999.97,75390,5492247,0.1482
